amfi_code,fund_name,fund_house,category,sub_category,risk_grade,launch_date,aum_amount_crores
100018,HDFC Mid Cap Fund - Direct Growth (100018),HDFC Mutual Fund,Equity,Mid Cap,High,2019-04-14,34090.88
100019,ICICI Prudential Small Cap Fund - Regular Growth (100019),ICICI Prudential Mutual Fund,Equity,Small Cap,Very High,2017-07-25,43446.88
100020,Nippon India Flexi Cap Fund - Direct Growth (100020),Nippon India Mutual Fund,Equity,Flexi Cap,High,2014-02-15,38149.5
100021,Kotak Mahindra Liquid Fund - Regular Growth (100021),Kotak Mahindra Mutual Fund,Debt,Liquid,Low,2019-09-13,10636.97
100022,Axis Gilt Fund - Direct Growth (100022),Axis Mutual Fund,Debt,Gilt,Low to Moderate,2010-09-07,21936.06
100023,UTI Corporate Bond Fund - Regular Growth (100023),UTI Mutual Fund,Debt,Corporate Bond,Moderate,2010-12-08,5220.88
100024,Aditya Birla Sun Life Liquid Fund - Direct Growth (100024),Aditya Birla Sun Life Mutual Fund,Debt,Liquid,Low,2020-03-17,33453.68
100025,SBI Gilt Fund - Regular Growth (100025),SBI Mutual Fund,Debt,Gilt,Low to Moderate,2012-01-27,57404.47
100026,HDFC Corporate Bond Fund - Direct Growth (100026),HDFC Mutual Fund,Debt,Corporate Bond,Moderate,2016-10-09,41598.39
100027,ICICI Prudential Liquid Fund - Regular Growth (100027),ICICI Prudential Mutual Fund,Debt,Liquid,Low,2018-08-12,18235.92
100028,Nippon India Gilt Fund - Direct Growth (100028),Nippon India Mutual Fund,Debt,Gilt,Low to Moderate,2016-07-24,31636.89
100029,Kotak Mahindra Corporate Bond Fund - Regular Growth (100029),Kotak Mahindra Mutual Fund,Debt,Corporate Bond,Moderate,2017-06-27,27449.74
100030,Axis Liquid Fund - Direct Growth (100030),Axis Mutual Fund,Debt,Liquid,Low,2012-05-15,33529.79
100031,UTI Balanced Advantage Fund - Regular Growth (100031),UTI Mutual Fund,Hybrid,Balanced Advantage,Moderately High,2010-05-26,14439.4
100032,Aditya Birla Sun Life Aggressive Hybrid Fund - Direct Growth (100032),Aditya Birla Sun Life Mutual Fund,Hybrid,Aggressive Hybrid,High,2016-11-09,33426.52
100033,SBI Balanced Advantage Fund - Regular Growth (100033),SBI Mutual Fund,Hybrid,Balanced Advantage,Moderately High,2019-10-13,70171.92
100034,HDFC Aggressive Hybrid Fund - Direct Growth (100034),HDFC Mutual Fund,Hybrid,Aggressive Hybrid,High,2016-01-20,27531.02
100035,ICICI Prudential Balanced Advantage Fund - Regular Growth (100035),ICICI Prudential Mutual Fund,Hybrid,Balanced Advantage,Moderately High,2013-05-23,29176.7
100036,Nippon India Aggressive Hybrid Fund - Direct Growth (100036),Nippon India Mutual Fund,Hybrid,Aggressive Hybrid,High,2020-04-13,8079.2
100037,Kotak Mahindra Retirement Fund Fund - Regular Growth (100037),Kotak Mahindra Mutual Fund,Solution Oriented,Retirement Fund,Moderately High,2020-03-22,40218.71
100038,Axis Childrens Fund Fund - Direct Growth (100038),Axis Mutual Fund,Solution Oriented,Childrens Fund,High,2019-09-21,39858.42
100039,UTI Nifty 50 ETF Fund - Regular Growth (100039),UTI Mutual Fund,ETF/Others,Nifty 50 ETF,Very High,2013-11-26,9883.52
100040,Aditya Birla Sun Life Gold ETF Fund - Direct Growth (100040),Aditya Birla Sun Life Mutual Fund,ETF/Others,Gold ETF,High,2018-07-01,15885.29
